index,0,1,2,3,4,5,6,7,8,9
388,1447,553,1693,2721,5782,2529,2393,82037,49666,31923
394,51562,52604,54513,59392,70984,87079,88950,93270,104879,108945
395,111622,2167,32011,1707,6869,2585,2145,33838,109673,33683
398,104879,112171,2519,3521,26147,44731,65188,67695,77846,149
407,109487,7025,102684,3060,6617,56757,7297,26562,62956,149
409,3521,5095,31445,2501,26147,65188,112171,3966,8496,44731
413,7025,102684,3060,26782,26562,51698,7297,62956,56757,149
419,8923,3300,51660,261,5005,60295,4267,663,3159,1225
421,7025,102684,3060,26782,26562,51698,7297,62956,56757,149
422,7616,6533,102684,7297,7025,26562,62956,51698,56757,149
425,7616,26782,26562,102684,7297,7025,62956,51698,56757,149
427,7025,8446,26782,51698,26562,3060,56757,7297,62956,149
430,109487,6617,7025,26782,51698,26562,7297,56757,62956,149
431,216,2660,662,110501,2294,48825,69849,8225,91842,1405
436,940,2247,100487,6579,33487,7489,1265,4813,1385,3090
440,8446,6617,3060,26562,26782,51698,7297,62956,56757,149
442,6777,4681,1884,31923,2553,69306,32387,89343,2572,3930
448,5963,1265,4267,6178,40815,3159,51660,90524,1225,663
451,3060,102684,7025,26782,26562,7297,51698,62956,56757,149
455,7616,26782,7025,102684,26562,7297,51698,62956,56757,149
457,7025,3060,7616,26782,7297,26562,51698,62956,56757,149
459,7025,6533,3060,7297,26782,51698,26562,62956,56757,149
462,3060,102684,7025,26782,26562,7297,51698,62956,56757,149
466,5237,4886,6687,85022,33669,1091,90645,31223,2000,3794
469,87079,88950,93270,104879,108945,1938,2939,3966,5937,53921
471,7025,102684,3060,26782,26562,7297,51698,62956,56757,149
482,109487,6617,3060,26782,51698,26562,56757,7297,62956,149
485,7616,109487,102684,7025,7297,26562,51698,62956,56757,149
486,83369,6791,51638,4847,708,2371,6888,8341,1387,913
492,51638,1883,2371,364,8341,708,6791,1387,1699,913
500,157,4833,4161,33725,7708,1699,5269,7149,6612,74089
503,3060,102684,7025,26782,26562,51698,7297,62956,56757,149
504,26782,7025,102684,7616,56757,51698,7297,26562,62956,149
505,6617,109487,26782,3060,8446,26562,56757,7297,62956,149
508,109487,7025,3060,26782,51698,7297,26562,56757,62956,149
512,7025,26782,102684,3060,51698,26562,7297,62956,56757,149
520,7025,102684,26782,3060,7297,26562,51698,62956,56757,149
521,3079,5107,111360,413,6358,5269,71131,2394,74089,93498
532,7708,986,1777,7149,6612,33725,4161,5269,74089,1699
534,2413,3587,5011,112804,4267,2436,3159,51660,663,1225
535,7616,3060,7025,26782,7297,26562,51698,62956,56757,149
540,6212,7943,40278,7141,31101,4489,2371,87430,7790,913
546,59392,60514,70984,87079,93270,104879,5095,63876,1938,3633
548,78574,913,6888,1387,1699,7789,4847,4161,74089,5269
557,4161,6612,33725,986,7149,71327,1777,1036,5269,74089
563,7572,5011,4262,1962,5152,7092,2000,1127,5119,2436
571,6971,31431,60514,39444,112171,2501,3578,7026,97921,5095
572,3060,102684,7025,26782,26562,7297,62956,51698,56757,149
573,52604,54513,59392,70984,87079,88950,93270,104879,5095,60514
577,6791,7790,87430,708,6888,1883,1387,1699,2371,913
578,6612,157,7149,4161,5269,4833,33725,1699,913,74089
586,102684,7616,26782,7025,7297,26562,62956,51698,56757,149
588,2316,78105,6617,6533,8799,7025,26782,51698,52448,149
598,7616,26782,102684,62956,26562,7297,7025,56757,51698,149
604,2470,4005,60818,34164,231,1913,101360,2422,27899,100487
609,7616,26782,3060,26562,7297,7025,51698,56757,62956,149
612,3598,45335,3223,7894,101360,60818,105504,4005,104944,27899
614,7025,3060,7616,26782,51698,26562,7297,56757,62956,149
617,102684,7025,3060,26782,51698,26562,7297,62956,56757,149
619,7790,87430,6791,1883,708,4847,1387,8341,2371,913
626,157,82053,6612,1699,4161,2394,5269,33725,74089,4833
631,3448,364,33725,6888,4833,1699,87430,8341,2371,913
633,59429,4194,3090,3117,32011,27373,836,529,2070,2145
637,7616,102684,26782,7025,26562,7297,51698,62956,56757,149
649,7616,102684,7025,26782,51698,26562,7297,56757,62956,149
650,62956,299,1029,3983,26562,51698,5255,26782,56757,149
661,51698,109487,26782,8446,3060,7297,56757,26562,62956,149
662,109487,3060,26782,7025,26562,7297,51698,62956,56757,149
664,954,3159,5011,58303,2413,112804,261,8923,4267,1225
672,2360,80917,26562,62956,51935,102684,51698,56757,7025,149
689,51638,6888,87430,1834,364,1387,8341,7790,2371,913
692,6763,74228,1952,58655,1515,48593,802,971,103539,73015
693,6617,102684,7025,51698,26782,7297,26562,62956,56757,149
694,7708,4847,1387,5269,2371,74089,1699,4833,33725,913
700,6377,112804,4886,59126,3176,1091,33669,3658,2000,2436
710,3448,1387,87430,364,6888,4847,7790,8341,2371,913
724,41585,1387,7790,6888,708,4847,364,8341,2371,913
729,4489,2600,3205,31101,57640,2371,87430,1834,7790,913
735,102684,7025,3060,51698,26782,26562,7297,56757,62956,149
737,7817,157,986,4161,5269,65216,50160,74089,4833,33725
738,986,82053,33838,7713,2394,6358,5269,71131,93498,74089
739,109487,7025,3060,26782,7297,26562,51698,62956,56757,149
741,7616,26782,3060,7025,51698,26562,7297,56757,62956,149
742,7616,7025,3060,26782,26562,7297,51698,62956,56757,149
744,102684,3060,7025,26782,51698,26562,7297,62956,56757,149
748,26562,8799,27311,6650,7616,26782,62956,51698,56757,149
756,26782,102684,7616,26562,7297,7025,62956,51698,56757,149
763,109487,102684,51698,7297,3060,56757,62956,26782,26562,149
768,102684,7025,3060,26782,26562,7297,51698,62956,56757,149
770,30820,92507,1545,2447,59126,5005,1984,3812,3565,64969
774,58655,7141,8341,57640,31101,1834,87430,2371,7790,913
775,102684,3060,26782,7025,51698,7297,26562,62956,56757,149
777,102684,7616,26782,7025,7297,26562,51698,62956,56757,149
779,87430,1834,4847,1387,364,6791,8341,1883,2371,913
784,3658,6687,64969,2381,3176,8739,2436,7572,7092,2000
786,903,51698,26562,3060,7297,8446,56757,62956,26782,149
787,3060,102684,26782,7025,51698,26562,7297,62956,56757,149
789,104944,70286,8604,4444,82095,3598,27899,8911,4757,7894
804,4723,4276,8799,60904,102684,27311,56757,7025,51698,149
808,7616,6617,26562,7297,7025,26782,51698,62956,56757,149
811,78105,7616,102684,26562,7297,3060,7025,62956,56757,149
827,7149,93498,7708,5269,4833,6791,74089,33725,1699,913
828,109487,26782,3060,51698,7025,7297,62956,56757,26562,149
829,3836,501,4589,65216,2495,89305,1699,2336,4833,33725
841,3060,102684,7025,26782,26562,51698,7297,62956,56757,149
843,299,27311,108548,149,6122,102684,56757,6214,2316,51698
844,8923,3587,6506,2413,6178,1225,4267,261,40815,663
846,299,2316,102684,7297,27311,7025,62956,56757,51698,149
847,109487,8446,3060,51698,26782,26562,7297,62956,56757,149
854,6617,7025,3060,26782,51698,26562,7297,56757,62956,149
864,6617,109487,51698,26782,3060,7297,26562,56757,62956,149
865,3633,2094,3521,8928,69406,97921,5095,26578,4862,44301
866,26562,102684,7025,3060,26782,7297,62956,51698,56757,149
868,7616,26782,102684,7025,26562,7297,62956,51698,56757,149
872,102684,3060,8446,51698,26782,62956,26562,7297,56757,149
873,2677,85316,3918,4932,7163,47423,45361,4018,78637,61697
878,3060,102684,7025,26562,26782,7297,62956,51698,56757,149
887,2422,8912,912,5504,4005,45517,100487,101360,25841,60818
890,1333,2243,2231,2138,3738,34150,7982,71156,4911,116823
891,3060,26782,7297,7025,102684,62956,51698,26562,56757,149
893,109487,102684,3060,26782,51698,26562,7297,62956,56757,149
894,102684,3060,26562,7025,26782,7297,56757,51698,62956,149
898,3033,2028,8799,27311,6294,2316,62956,7025,51698,149
902,6617,8446,102684,109487,3060,56757,7297,26562,62956,149
910,82499,3176,109487,33669,2447,8974,26562,3658,59126,6533
912,7025,6617,3060,26782,51698,26562,56757,62956,7297,149
913,8261,48825,7982,5974,953,116823,3738,85397,71156,628
915,33838,33683,5680,4686,6869,91199,2070,2145,32011,109673
916,3060,102684,7025,26782,7297,62956,26562,51698,56757,149
919,1699,4833,2394,3730,7437,5269,33725,71131,74089,93498
923,1387,4589,2371,4847,33725,6791,4833,1699,6888,913
924,4068,48593,72209,6763,40278,7790,851,5463,2926,3811
926,1387,74089,2371,1699,6888,4847,4833,33725,5269,913
932,102684,3060,7025,26782,7297,26562,51698,62956,56757,149
933,943,92507,8494,44761,27820,4862,99468,56001,59126,44301
935,102684,3060,7025,26782,7297,26562,51698,62956,56757,149
937,109487,26782,26562,7025,51698,3060,7297,62956,56757,149
940,337,802,6763,40278,5463,1834,913,2926,3205,7790
948,3205,4489,51638,1136,3037,1834,7258,2371,87430,7790
949,1958,149,51698,4276,7025,27311,6650,2852,1480,60904
951,4350,7334,67695,108945,53921,4664,190,7026,1938,5095
964,26782,3060,7025,102684,26562,7297,62956,51698,56757,149
969,8446,7025,26562,26782,3060,62956,7297,51698,56757,149
971,8446,7616,6617,51698,26562,26782,7297,62956,56757,149
975,89190,80241,2422,34359,34164,5319,231,97057,100487,48879
979,109487,102684,3060,26782,51698,7297,26562,62956,56757,149
982,102684,3060,7025,26782,26562,7297,51698,62956,56757,149
984,32011,3090,2585,529,2145,2070,91199,6869,68932,836
990,3060,26782,102684,7025,26562,7297,51698,62956,56757,149
994,1883,1387,1227,4847,364,8341,2371,3448,913,7790
995,102684,3060,7025,26782,51698,26562,7297,56757,62956,149
997,3983,116823,80166,552,5016,3510,89343,4681,2867,149
1000,26562,102684,26782,3060,7616,7025,56757,51698,62956,149
1001,82053,3730,33725,2167,1699,4833,986,4161,5269,74089
1003,7025,6617,3060,51698,26782,26562,7297,56757,62956,149
1015,8507,4470,7561,42009,97306,7982,628,71156,116823,5974
1016,102684,7025,3060,26782,51698,26562,7297,62956,56757,149
1022,4489,8341,57640,31101,1834,3448,2371,87430,913,7790
1023,6617,56757,7616,109487,7025,51698,26562,7297,62956,149
1024,40148,907,7982,98585,2138,449,4300,5312,4911,126
1028,4833,82053,2394,5269,71131,44191,93498,7713,6358,74089
1034,88950,93270,104879,1729,7026,39444,7086,31445,97921,108945
1036,5404,4489,2371,7141,31101,3448,57640,7790,51638,913
1048,102684,3060,7025,26782,51698,7297,62956,26562,56757,149
1052,7708,2371,65216,4847,33725,6888,5269,1699,4833,913
1061,33838,3430,4833,4727,33683,4161,2394,6358,5269,74089
1065,102684,3060,7025,26782,26562,7297,51698,62956,56757,149
1068,86882,27456,5165,4552,4813,6996,5107,37853,54286,3090
1073,7149,83369,34405,5956,7708,6888,5269,1699,1387,913
1074,8341,4847,3448,6888,2371,74089,1387,33725,4833,913
1078,4178,7713,195,2145,27373,2798,529,3090,68932,836
1090,102684,3060,7025,26782,51698,7297,62956,26562,56757,149
1094,26782,3060,102684,7025,26562,7297,51698,62956,56757,149
1106,5418,6586,53921,65188,112171,903,3521,3633,7334,108945
1108,7616,26782,102684,7025,26562,7297,62956,51698,56757,149
1141,3060,102684,26782,7025,51698,7297,26562,62956,56757,149
1145,102684,7616,3060,7025,7297,51698,26562,56757,62956,149
1147,102684,3060,7025,26782,51698,26562,7297,56757,62956,149
1148,102684,7025,3060,26782,51698,26562,7297,62956,56757,149
1154,44191,413,7713,6335,2394,6358,3090,71131,74089,93498
1155,78574,89305,33725,4833,7708,34405,4161,5269,1699,65216
1158,44731,2519,3981,6971,7086,83132,4664,97921,44301,149
1163,6617,7025,102684,26562,56757,3060,51698,7297,62956,149
1164,6617,8446,3060,51698,26562,26782,7297,56757,62956,149
1165,53921,65188,67695,112171,3966,5937,7026,7743,4664,97921
1166,3060,109487,51698,26562,8446,7297,26782,62956,56757,149
1168,6617,109487,7297,3060,26562,51698,62956,56757,26782,149
1175,6617,7616,3060,26782,51698,26562,7297,62956,56757,149
1198,98585,48825,4911,85397,3738,5974,953,71156,628,116823
1200,3060,109487,26782,7025,51698,7297,26562,62956,56757,149
1202,7025,102684,3060,26782,26562,7297,51698,62956,56757,149
1206,3060,102684,7025,26782,26562,7297,62956,51698,56757,149
1222,5304,1611,4267,6178,51660,90524,4688,1225,3159,663
1226,5974,2926,6573,4470,5463,7790,1136,628,3205,337
1227,31101,51638,6791,8341,3448,7790,87430,2371,1883,913
1228,60514,108945,3966,5418,5937,65188,67695,77846,1938,3981
1233,34405,986,1777,93498,4161,6612,7149,1699,5269,74089
1239,6617,7025,3060,26562,51698,26782,62956,7297,56757,149
1244,102684,3060,7025,26782,26562,7297,62956,51698,56757,149
1246,337,5463,7561,802,3205,5974,2926,48593,4470,7790
1251,32721,299,89343,2316,58315,64114,7616,1513,1356,149
1252,102684,7025,3060,26562,26782,51698,7297,62956,56757,149
1254,102684,3060,7025,26782,51698,7297,26562,62956,56757,149
1256,6791,6612,4161,89305,986,65216,157,74089,5269,7789
1261,1936,7297,2943,26562,1580,6617,2170,7616,1029,62956
1265,50160,7708,6358,5269,913,4833,74089,1699,33725,3090
1268,74089,5269,4833,6888,65216,33725,4847,2371,1699,913
1271,3060,7025,102684,26782,26562,7297,51698,62956,56757,149
1272,7025,26562,6617,3060,7297,51698,26782,56757,62956,149
1274,3060,102684,26782,7025,26562,7297,51698,62956,56757,149
1277,90524,6996,4776,27456,3928,7844,4444,4061,55067,69849
1282,102684,51698,26782,7616,26562,56757,3060,7297,62956,149
1288,109487,7025,26782,3060,51698,26562,7297,56757,62956,149
1291,6617,299,51698,109487,62956,102684,7297,26562,56757,149
1305,52448,109487,7025,26782,51698,56757,7297,26562,62956,149
1311,83976,8870,27311,82167,6122,102684,1480,149,5255,51698
1317,5404,157,3205,4833,986,32011,33838,109673,74089,2145
1322,8446,7025,26562,3060,51698,26782,7297,56757,62956,149
1328,4847,1883,1834,7141,8341,7790,364,87430,2371,913
1331,1387,83369,65216,5269,7149,78574,913,4161,34405,1699
1335,74089,34405,93498,4161,913,101362,33725,2394,5269,4833
1338,7616,7025,3060,26782,7297,26562,51698,62956,56757,149
1339,3060,102684,7025,26782,51698,7297,26562,62956,56757,149
1341,60904,26782,26562,102684,7297,51698,7025,62956,56757,149
1347,74089,1699,2394,4589,2371,6888,4847,33725,4833,913
1349,82053,44191,7713,6358,33725,71131,93498,4833,2394,74089
1364,8376,47274,58303,85394,5011,81456,3587,8923,2413,1225
1370,102684,26782,3060,7025,51698,7297,26562,62956,56757,149
1374,7297,8446,51698,3060,7025,26562,26782,56757,62956,149
1376,7616,102684,26782,7025,26562,7297,51698,62956,56757,149
1384,3060,7025,26562,7616,7297,26782,56757,62956,51698,149
1387,3698,31101,1136,8341,2371,1834,57640,3205,7790,913
1393,5269,6358,4833,2394,913,33725,3090,71131,74089,93498
1396,7616,8446,26782,51698,3060,26562,7297,56757,62956,149
1398,26782,7616,102684,7297,26562,62956,7025,51698,56757,149
1409,65216,101362,1883,7708,1699,90469,6791,4833,33725,913
1411,109487,26782,3060,7025,26562,51698,7297,62956,56757,149
1419,2436,2447,64969,30820,4886,3176,33669,1091,59126,3658
1426,7616,6617,3060,26782,51698,26562,7297,56757,62956,149
1433,7025,102684,26782,26562,3060,62956,51698,7297,56757,149
1446,8923,90524,2413,6178,51660,261,3159,4267,663,1225
1453,102684,26782,3060,7025,26562,51698,7297,62956,56757,149
1454,2125,117176,48879,89190,34359,7074,610,33585,5059,103048
1455,6533,6617,52448,8446,56757,26562,26782,7297,62956,149
1456,7025,102684,51698,3060,26782,26562,7297,62956,56757,149
1458,5011,3735,1225,8739,2381,3176,2000,3658,112804,2436
1468,3223,87234,6599,4776,4005,6367,101360,6996,27899,25841
1475,63876,83132,5095,190,8273,4862,44301,4886,90645,2000
1476,3265,3055,90249,3738,8157,26064,1333,5445,4282,32554
1478,102684,7025,26782,3060,51698,26562,56757,7297,62956,149
1486,1485,1359,7584,7046,7486,81786,5005,3812,3565,1984
1489,81456,3882,1361,5011,85394,51660,8923,2413,3587,1225
1494,49961,51562,52604,54513,59392,70984,87079,93270,104879,112171
1496,700,663,6178,5005,60295,112804,261,3159,4267,1225
1500,6763,628,48593,1834,3205,5974,913,337,7790,2926
1503,6159,2470,4135,8604,2598,3794,6448,6982,2454,79720
1507,6617,7025,3060,26782,51698,7297,26562,56757,62956,149
1515,7616,26782,3060,7025,7297,51698,26562,56757,62956,149
1516,7149,1699,6612,2394,33725,93498,4161,4833,5269,74089
1518,51575,4068,5463,88179,56141,596,25839,51080,90376,3811
1525,1387,4589,708,8341,492,1883,6886,3448,2371,913
1528,3060,102684,26782,7025,7297,26562,62956,51698,56757,149
1532,109487,7025,3060,26782,51698,26562,7297,62956,56757,149
1539,5095,26147,3633,67695,2939,7345,31431,65188,3578,1225
1550,3633,6586,33072,53921,63876,5095,5937,7743,1938,5418
1551,3448,364,1883,87430,4847,1387,8341,7790,2371,913
1554,3060,26782,102684,7025,26562,7297,51698,62956,56757,149
1559,109487,7025,3060,26782,51698,7297,26562,56757,62956,149
1562,71131,1707,195,529,27373,1385,836,5107,68932,3090
1568,91199,33683,2070,1707,2145,529,3090,27373,109673,836
1572,7235,2354,4350,7086,2094,4017,2959,60295,7578,76175
1573,3494,2422,2325,81910,100487,7773,80241,5873,58839,34164
1584,7616,3060,7025,26782,26562,51698,7297,62956,56757,149
1587,3060,7616,26782,7025,26562,51698,7297,62956,56757,149
1588,26782,3060,7025,109487,51698,26562,62956,7297,56757,149
1590,3882,2381,3949,4267,112804,51660,2436,663,3159,1225
1601,71131,4161,82053,6358,4833,93498,33725,5269,2394,74089
1602,3060,102684,7616,26782,7297,26562,51698,62956,56757,149
1609,53921,54513,59392,70984,87079,88950,93270,104879,60514,5095
1612,6617,51698,3060,8446,26562,26782,7297,62956,56757,149
1615,5107,74089,2145,2167,109673,7338,33838,6335,3730,4840
1616,3205,71156,4470,7982,116823,5974,628,2335,6573,953
1619,7616,109487,26782,7025,7297,26562,51698,62956,56757,149
1620,6617,7025,3060,7297,26782,51698,56757,26562,62956,149
1626,45074,49961,51562,52604,54513,59392,70984,87079,93270,104879
1627,2167,44191,2394,3730,6358,6335,7713,71131,93498,74089
1629,3060,102684,7025,26782,26562,7297,51698,62956,56757,149
1630,87234,1385,44191,93498,71131,4813,413,3730,6996,27456
1641,102684,7025,3060,26782,26562,7297,51698,62956,56757,149
1644,7025,109487,3060,51698,26782,26562,7297,62956,56757,149
1650,102684,7616,7025,26782,7297,62956,51698,26562,56757,149
1657,7149,11,83369,7708,6888,6791,1699,4847,34405,913
1662,56757,7616,26782,52448,6617,51698,7297,62956,26562,149
1672,97306,6573,2799,5068,2371,6975,4470,628,337,5974
1678,2221,7334,5294,702,45028,2939,190,99468,4862,44301
1686,6573,42009,97306,2799,4470,116823,337,3205,628,5974
1690,34405,7149,4847,6888,7708,33725,1387,6791,1699,913
1693,102684,7025,3060,26782,51698,26562,7297,62956,56757,149
1700,8446,3060,109487,51698,26562,26782,7297,62956,56757,149
1703,109487,7025,26782,3060,51698,26562,7297,56757,62956,149
1704,33725,986,7708,6612,3730,6335,1699,5269,93498,74089
1705,7025,109487,26782,6533,51698,26562,62956,56757,7297,149
1707,109487,3060,7025,26782,51698,26562,7297,56757,62956,149
1714,802,4470,628,1834,58655,337,2926,1136,3205,7790
1716,101362,6888,93498,2394,1699,5269,74089,33725,4833,913
1719,1936,5690,8799,5782,58315,27311,2028,3015,1356,149
1728,7616,102684,26782,7025,26562,51698,7297,62956,56757,149
1730,6887,45028,30894,5843,47610,98243,4862,8494,8908,44301
1732,102684,7025,3060,26782,26562,51698,7297,62956,56757,149
1734,6617,51698,26782,56757,3060,26562,8446,7297,62956,149
1736,54775,89343,2467,82169,1527,6939,372,6782,5782,2792
1738,5095,2501,60514,193,3966,190,8273,4862,90645,44301
1741,6791,8341,708,1699,6888,1883,1387,4847,2371,913
1745,30812,4470,89840,112515,5974,7258,48593,37720,7790,40966
1746,2867,553,5782,8799,56757,27311,4276,51698,1356,149
1750,39444,31431,2519,26147,31445,60514,67695,7026,77846,2501
1751,102684,7616,26782,26562,7025,7297,62956,51698,56757,149
1755,3060,102684,7616,7297,26562,51698,7025,56757,62956,149
1757,7616,3060,7025,26782,51698,7297,26562,62956,56757,149
1758,7616,109487,3060,26782,51698,26562,7297,62956,56757,149
1763,102684,26782,3060,7025,26562,7297,51698,62956,56757,149
1770,7616,3060,7025,51698,26782,26562,7297,56757,62956,149
1772,3033,26562,27311,26782,7297,7025,62956,56757,51698,149
1774,4161,6335,4833,3730,33725,44191,1699,5269,74089,93498
1775,2145,529,33487,4552,68932,54286,71131,5107,1385,3090
1776,7025,26782,3060,102684,26562,51698,56757,7297,62956,149
1780,3060,7025,26782,102684,26562,7297,51698,56757,62956,149
1786,5013,7345,903,2519,3633,26147,1729,8496,67695,2959
1789,7025,6533,26782,3060,51698,26562,56757,7297,62956,149
1804,6612,1777,2167,33838,1036,6358,1707,5269,93498,74089
1806,26782,7297,7616,26562,7025,3060,62956,51698,56757,149
1810,2413,6178,8923,3587,261,6506,90524,1225,663,40815
1813,116823,5974,2231,71156,85397,4911,3967,7982,628,953
1815,4661,8799,62956,60904,2028,7025,7616,51698,56757,149
1816,39444,65188,77846,2221,3578,8496,67695,112171,97921,149
1819,102684,26782,3060,7025,26562,7297,51698,62956,56757,149
1823,59392,67695,70984,87079,93270,104879,2519,7743,44731,63876
1825,102684,3060,7025,26782,26562,51698,7297,62956,56757,149
1829,4847,7708,34405,1883,1387,4833,33725,1699,2371,913
1834,7616,102684,3060,7025,7297,51698,62956,26562,56757,149
1837,3060,102684,26782,7025,51698,26562,7297,62956,56757,149
1838,8341,31101,57640,1834,3448,4489,2371,87430,7790,913
1839,943,71252,92507,8765,2447,3812,3176,5005,59126,64969
1840,53921,108945,8496,5013,7026,4350,5095,7345,44731,26147
1844,26562,299,26782,6533,56757,51698,62956,3060,7297,149
1848,86142,3324,661,7046,31255,7584,4275,3555,3271,5995
1849,7025,6617,26782,3060,51698,26562,7297,62956,56757,149
1854,7025,102684,26562,3060,7297,62956,26782,51698,56757,149
1861,7616,3060,7025,26562,26782,7297,51698,56757,62956,149
1870,34405,111360,208,4833,7437,93498,6888,25839,913,101362
1876,7708,1699,4161,7437,2394,4833,33725,5269,93498,74089
1882,6617,102684,7025,3060,51698,7297,26562,56757,62956,149
1883,2231,3738,628,42009,6573,71156,2799,116823,5974,7982
1887,364,4489,708,1387,1883,8341,3448,2371,7790,913
1890,59549,5981,5059,610,368,81782,59429,5007,1377,68932
1902,7141,87430,8341,31101,1834,7790,364,57640,2371,913
